,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
0,GerDracor/brentano-ponce-de-leon.xml,0,400," Seiner Durchlaucht dem Herzoge von Aremberg Mein gnädigster Herr Cervantes führt in der Zuschrift seiner Novellen die Fehler an, welche in den Zuschriften
          der meisten Schriftsteller gefunden werden; indem ich diese Fehler zu vermeiden suchte,
          machte ich die Entdeckung eines ganz neuen, und nehme mir die Freiheit, Ihnen denselben
          seiner Ungemeinheit wegen mitzuteilen.",negative,emotions of joy,"hate, disgust"
1,GerDracor/brentano-ponce-de-leon.xml,401,876,"Es ist nämlich der Fehler, jemanden ein Buch in
          einer Sprache, deren er nicht ganz mächtig ist, zuzuschreiben; doch, damit Sie mich nicht
          einer listigen Bescheidenheit beschuldigen können, indem ich das nur entdeckt zu haben
          vorgebe, dessen ich mich in diesen Zeilen selbst als Erfinder rühmen könnte, so nehme ich
          mir die Freiheit, Ihnen die Erlaubnis in das Gedächtnis zurückzurufen, welche Sie mir
          hierzu selbst erteilten.",negative,emotions of rejection,anger
2,GerDracor/brentano-ponce-de-leon.xml,877,1461,"Als ich das letzte Mal die Ehre Ihrer Unterhaltung genoß, gaben
          Sie mir nämlich die Freiheit, mich in teutscher Sprache ausdrücken zu dürfen, sobald ich
          etwas zu sagen hätte, was ich nicht in französischer Sprache denken könne, und was mir
          allein eigen sei; in Rücksicht auf diese Erlaubnis allein wage ich es, Ihnen dieses
          Lustspiel zu überreichen, welches ich nicht in französischer Sprache denken konnte, und
          welches mir allein eigen war, bis auf diesen Augenblick, da ich so kühn bin, Ihnen ein
          Geschenk damit zu machen.",positive,emotions of affection,joy
3,GerDracor/brentano-ponce-de-leon.xml,1462,1979,"Auch erinnere ich mich Ihrer Äußerung, daß den Teutschen
          Gewandtheit der Sprache und das Wortspiel fehle; ich war damals Ihrer Meinung entgegen und
          bin es noch; doch mit dem Verdruß, daß meine Arbeit, die Ihnen vielleicht ein Beweis für
          meine Behauptung  So nehmen Sie gütig nachfolgende Blätter als einen Beweis, daß ich Ihnen gern mit dem
          Meinigen ein Vergnügen zu machen wünschte, denn sie enthalten zu wenig, um Ihnen als
          Beweis der Ehrfurcht übergeben zu werden.",negative,emotions of rejection,suffering
4,GerDracor/brentano-ponce-de-leon.xml,1980,2143,"Ihr untertänigster Diener, Dieses Lustspiel, welches im Sommer 1801 geschrieben ist, war durch einen Zufall während
          vierzehn Monaten außer meinen Händen.",positive,emotions of affection,joy
5,GerDracor/brentano-ponce-de-leon.xml,2144,2709,"Da ich es nun wieder besitze, finde ich freilich
          meine Ansicht von dem, was ein Lustspiel überhaupt sein soll, sehr verändert; dennoch
          glaube ich, ohne den Vorwurf der Unbescheidenheit zu verdienen, einige Worte über meine
          damalige Absicht beifügen zu dürfen, und zwar um so mehr, da ich mich umsonst nach seiner
          Gattung umgesehen habe und beinahe fürchte, daß es allein stehen werde, was ich ihm
          jedoch, sollte es nicht meiner Unbelesenheit zugeschrieben werden können, keineswegs zum
          Verdienst anrechne.",positive,emotional movement,suffering
6,GerDracor/brentano-ponce-de-leon.xml,2710,3013,"Ich strebte damals, das Komische und Edlere hauptsächlich in dem
          Mutwill unabhängiger, fröhlicher Menschen zu vereinigen, und um diesen Mutwill als Element
          in ihnen vorauszusetzen, habe ich ihre Sprache durchaus frei und mit sich selbst in jeder
          Hinsicht spielend gehalten.",positive,emotions of joy,joy
7,GerDracor/brentano-ponce-de-leon.xml,3014,3530,"Ich hatte kein Muster vor mir als die Fröhlichkeit meines
          eigenen Herzens und der Freunde, deren es sich gern erfreut, und da ich mich nur erinnere,
          im Schauspielhause gelacht zu haben, wenn mich das Edle, Rührende oder Tragische als
          Parodie und das Komische als Unfähigkeit berührte, so wagte ich nicht, mein sehr einsames
          Lachen als ein Merkmal anzunehmen, dann ein Lustspiel geschrieben zu haben, wenn das,
          worüber ich lachen konnte, mir zum Muster geworden wäre.",positive,emotions of joy,joy
8,GerDracor/brentano-ponce-de-leon.xml,3531,3742,"Wie weit wir aber von dem
          Komischen entfernt sind, ist mir vor einiger Zeit auf eine Art deutlich geworden, die für
          mich mit der ganz neuen Empfindung des tragischen Schreckens begleitet war.",negative,emotions of fear,suffering
9,GerDracor/brentano-ponce-de-leon.xml,3743,3904,"Ich sah
          nämlich die Aufführung des Axurs durch eine vorzügliche Truppe, und freute mich besonders
          auf das Zwischenspiel der komischen Masken.",positive,emotions of joy,joy
10,GerDracor/brentano-ponce-de-leon.xml,3905,4076,"Meine Erwartung war um so gespannter, da ich
          den Bouffon der Gesellschaft als einen in seiner Abart sehr geschickten, ja oft frechen
          Spaßmacher kannte.",emotional movement,emotional movement,emotional movement
11,GerDracor/brentano-ponce-de-leon.xml,4077,4620,"Aber wie fand ich mich getäuscht; der selige Harlekin tat vor meinen Augen ein Mirakel,
          und bestätigte meinen Glauben, daß er nicht gänzlich aus der Zahl der heiligen Aus der oben angeführten Ansicht entstand nun vorliegendes Lustspiel, ich zweifle
          gänzlich, daß es etwas Komisches enthalte, da mir bis jetzt das Komische nicht vor Augen
          gekommen ist und ich daher mit einigem Recht vermuten darf, das Komische müsse entweder
          unsrer edlen Zeit nicht würdig oder unsre edle Zeit das Komische selbst sein.",positive,emotions of joy,suffering
