,file,genre,bp_negative_abs,bp_positive_abs,bp_em1_abs,bp_negative_per,bp_positive_per,bp_em1_per,mec_suffering_abs,mec_rejection_abs,mec_affection_abs,mec_joy_abs,mec_fear_abs,mec_em2_abs,mec_suffering_per,mec_rejection_per,mec_affection_per,mec_joy_per,mec_fear_per,mec_em2_per,tt_suffering_abs,tt_love_abs,tt_fear_abs,tt_joy_abs,tt_hate_abs,tt_admiration_abs,tt_schadenfreude_abs,tt_em3_abs,tt_friendship_abs,tt_despair_abs,tt_desire_abs,tt_compassion_abs,tt_anger_abs,tt_suffering_per,tt_love_per,tt_fear_per,tt_joy_per,tt_hate_per,tt_admiration_per,tt_schadenfreude_per,tt_em3_per,tt_friendship_per,tt_despair_per,tt_desire_per,tt_compassion_per,tt_anger_per
0,GerDracor/lenz-die-freunde-machen-den-philosophen.xml,comedy,410,273,154,0.48984468339307047,0.32616487455197135,0.18399044205495818,150,190,138,109,51,199,0.17921146953405018,0.2270011947431302,0.16487455197132617,0.13022700119474312,0.06093189964157706,0.23775388291517324,133,72,39,92,45,44,11,238,20,14,0,14,115,0.15890083632019117,0.08602150537634409,0.04659498207885305,0.10991636798088411,0.053763440860215055,0.052568697729988054,0.013142174432497013,0.2843488649940263,0.023894862604540025,0.016726403823178016,0,0.016726403823178016,0.13739545997610514
1,GerDracor/tieck-prinz-zerbino.xml,comedy,2195,1524,606,0.507514450867052,0.3523699421965318,0.1401156069364162,718,1146,581,945,242,693,0.16601156069364162,0.26497109826589593,0.13433526011560692,0.2184971098265896,0.055953757225433526,0.16023121387283237,617,190,192,833,325,251,76,945,55,35,0,92,714,0.14265895953757227,0.04393063583815029,0.04439306358381503,0.19260115606936415,0.07514450867052024,0.058034682080924854,0.017572254335260117,0.2184971098265896,0.012716763005780347,0.008092485549132947,0,0.021271676300578034,0.16508670520231214
2,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,comedy,742,369,172,0.578332034294622,0.2876071706936867,0.13406079501169135,192,470,161,168,64,228,0.14964925954793454,0.36632891660171474,0.1254871395167576,0.1309431021044427,0.04988308651597818,0.17770849571317227,191,84,66,130,104,52,28,269,18,11,0,25,305,0.14886983632112236,0.06547155105222136,0.05144193296960249,0.10132501948558068,0.08106001558846454,0.04053000779423227,0.021823850350740453,0.20966484801247076,0.014029618082618862,0.00857365549493375,0,0.019485580670303974,0.2377240841777085
3,GerDracor/ayrenhoff-der-postzug.xml,comedy,652,616,206,0.4423337856173677,0.417910447761194,0.13975576662143827,179,417,282,271,68,257,0.12143826322930801,0.2829036635006784,0.19131614654002713,0.18385345997286295,0.04613297150610583,0.17435549525101765,126,79,67,251,83,162,24,346,22,4,0,41,269,0.08548168249660787,0.05359565807327001,0.045454545454545456,0.17028493894165536,0.056309362279511534,0.10990502035278155,0.016282225237449117,0.23473541383989144,0.014925373134328358,0.0027137042062415195,0,0.027815468113975575,0.1824966078697422
4,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,comedy,597,274,50,0.6482084690553745,0.2975027144408252,0.05428881650380022,186,347,113,144,47,84,0.20195439739413681,0.3767643865363735,0.12269272529858849,0.1563517915309446,0.051031487513572206,0.09120521172638436,184,59,29,133,133,49,29,103,3,13,0,27,159,0.1997828447339848,0.06406080347448426,0.031487513572204126,0.1444082519001086,0.1444082519001086,0.053203040173724216,0.031487513572204126,0.11183496199782844,0.003257328990228013,0.014115092290988056,0,0.029315960912052116,0.17263843648208468
5,GerDracor/wieland-alceste.xml,comedy,371,271,81,0.5131396957123098,0.3748271092669433,0.11203319502074689,197,92,169,89,87,89,0.27247579529737204,0.1272475795297372,0.23374827109266944,0.12309820193637622,0.12033195020746888,0.12309820193637622,147,114,49,83,30,25,1,147,16,40,0,31,40,0.2033195020746888,0.15767634854771784,0.0677731673582296,0.11479944674965421,0.04149377593360996,0.034578146611341634,0.0013831258644536654,0.2033195020746888,0.022130013831258646,0.05532503457814661,0,0.042876901798063624,0.05532503457814661
6,GerDracor/brentano-ponce-de-leon.xml,comedy,1539,1082,491,0.49453727506426737,0.3476863753213368,0.15777634961439588,580,693,548,469,192,630,0.18637532133676094,0.22268637532133675,0.17609254498714652,0.150706940874036,0.061696658097686374,0.20244215938303342,471,340,140,465,138,110,52,728,46,20,0,73,529,0.1513496143958869,0.10925449871465295,0.04498714652956298,0.14942159383033418,0.04434447300771208,0.03534704370179949,0.016709511568123392,0.23393316195372751,0.014781491002570694,0.006426735218508998,0,0.02345758354755784,0.16998714652956298
7,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,comedy,131,76,22,0.5720524017467249,0.3318777292576419,0.09606986899563319,26,88,42,34,5,34,0.11353711790393013,0.38427947598253276,0.18340611353711792,0.14847161572052403,0.021834061135371178,0.14847161572052403,23,12,4,39,17,14,16,43,3,0,0,7,51,0.10043668122270742,0.05240174672489083,0.017467248908296942,0.1703056768558952,0.07423580786026202,0.0611353711790393,0.06986899563318777,0.18777292576419213,0.013100436681222707,0.0,0,0.03056768558951965,0.22270742358078602
8,GerDracor/meisl-der-lustige-fritz.xml,comedy,531,371,133,0.5130434782608696,0.35845410628019325,0.1285024154589372,153,343,146,184,45,164,0.14782608695652175,0.3314009661835749,0.14106280193236714,0.17777777777777778,0.043478260869565216,0.15845410628019324,123,72,35,149,79,59,25,243,10,5,0,22,213,0.11884057971014493,0.06956521739130435,0.033816425120772944,0.14396135265700483,0.07632850241545894,0.057004830917874394,0.024154589371980676,0.23478260869565218,0.00966183574879227,0.004830917874396135,0,0.021256038647342997,0.20579710144927535
9,GerDracor/raimund-der-barometermacher-auf-der-zauberinsel.xml,comedy,654,573,218,0.45259515570934256,0.3965397923875433,0.1508650519031142,163,426,191,304,94,267,0.11280276816608996,0.2948096885813149,0.13217993079584775,0.21038062283737025,0.06505190311418685,0.1847750865051903,132,64,60,272,94,104,39,388,16,8,0,23,245,0.09134948096885813,0.044290657439446365,0.04152249134948097,0.18823529411764706,0.06505190311418685,0.07197231833910035,0.02698961937716263,0.2685121107266436,0.011072664359861591,0.005536332179930796,0,0.01591695501730104,0.1695501730103806
10,GerDracor/platen-die-verhaengnisvolle-gabel.xml,comedy,653,265,135,0.6201329534662868,0.251661918328585,0.1282051282051282,154,384,119,142,86,168,0.1462488129154796,0.3646723646723647,0.11301044634377967,0.13485280151946819,0.08167141500474834,0.15954415954415954,154,41,66,125,142,54,33,211,12,17,0,16,182,0.1462488129154796,0.0389363722697056,0.06267806267806268,0.11870845204178537,0.13485280151946819,0.05128205128205128,0.03133903133903134,0.2003798670465337,0.011396011396011397,0.016144349477682812,0,0.015194681861348529,0.1728395061728395
11,GerDracor/raimund-moisasurs-zauberfluch.xml,comedy,794,430,148,0.5787172011661808,0.31341107871720114,0.10787172011661808,243,429,178,218,99,205,0.17711370262390672,0.31268221574344024,0.12973760932944606,0.1588921282798834,0.07215743440233237,0.14941690962099125,243,71,54,192,135,94,23,246,9,23,0,30,252,0.17711370262390672,0.05174927113702624,0.03935860058309038,0.13994169096209913,0.09839650145772595,0.06851311953352769,0.016763848396501458,0.1793002915451895,0.006559766763848397,0.016763848396501458,0,0.021865889212827987,0.1836734693877551
12,GerDracor/stephanie-doktor-und-apotheker.xml,comedy,1302,680,410,0.544314381270903,0.2842809364548495,0.1714046822742475,282,743,186,381,185,615,0.11789297658862877,0.31061872909698995,0.07775919732441472,0.1592809364548495,0.07734113712374582,0.25710702341137126,278,128,171,275,82,41,29,765,7,12,0,29,575,0.11622073578595318,0.05351170568561873,0.07148829431438126,0.1149665551839465,0.034280936454849496,0.017140468227424748,0.012123745819397994,0.31981605351170567,0.002926421404682274,0.005016722408026756,0,0.012123745819397994,0.2403846153846154
13,GerDracor/eckartshausen-der-pudelhund.xml,comedy,305,271,74,0.46923076923076923,0.4169230769230769,0.11384615384615385,114,154,161,109,23,89,0.1753846153846154,0.23692307692307693,0.24769230769230768,0.1676923076923077,0.03538461538461538,0.13692307692307693,70,97,21,113,42,30,16,130,14,7,0,23,87,0.1076923076923077,0.14923076923076922,0.03230769230769231,0.17384615384615384,0.06461538461538462,0.046153846153846156,0.024615384615384615,0.2,0.021538461538461538,0.010769230769230769,0,0.03538461538461538,0.13384615384615384
14,GerDracor/delpons-der-ahnherr.xml,comedy,164,70,38,0.6029411764705882,0.25735294117647056,0.13970588235294118,54,83,19,49,32,35,0.19852941176470587,0.30514705882352944,0.06985294117647059,0.1801470588235294,0.11764705882352941,0.12867647058823528,42,2,24,39,16,11,7,56,1,3,0,13,58,0.15441176470588236,0.007352941176470588,0.08823529411764706,0.14338235294117646,0.058823529411764705,0.04044117647058824,0.025735294117647058,0.20588235294117646,0.003676470588235294,0.011029411764705883,0,0.04779411764705882,0.21323529411764705
15,GerDracor/mylius-die-schaeferinsel.xml,comedy,766,405,312,0.5165205664194201,0.2730950775455158,0.21038435603506406,253,398,200,212,98,322,0.1706001348617667,0.2683749157113958,0.13486176668914363,0.14295347269049224,0.06608226567768037,0.21712744436952125,214,109,90,174,106,32,22,456,29,14,0,21,216,0.14430209035738367,0.07349966284558328,0.060687795010114634,0.11732973701955496,0.07147673634524612,0.02157788267026298,0.014834794335805798,0.3074848280512475,0.019554956169925825,0.009440323668240054,0,0.014160485502360081,0.14565070802427513
16,GerDracor/stephanie-die-liebe-im-narrenhause.xml,comedy,903,611,249,0.5121951219512195,0.34656834940442427,0.1412365286443562,296,453,268,336,107,303,0.16789563244469655,0.25694838343732274,0.1520136131593874,0.1905842314237096,0.060692002268859895,0.17186613726602382,239,148,99,287,113,72,21,417,17,20,0,48,282,0.13556437889960296,0.08394781622234827,0.05615428247305729,0.16279069767441862,0.06409529211571185,0.04083947816222348,0.01191151446398185,0.23652864435621102,0.009642654566080544,0.011344299489506523,0,0.027226318774815655,0.15995462280204198
17,GerDracor/raimund-die-gefesselte-phantasie.xml,comedy,739,494,195,0.5175070028011205,0.34593837535014005,0.13655462184873948,194,408,201,287,107,231,0.13585434173669467,0.2857142857142857,0.1407563025210084,0.20098039215686275,0.07492997198879552,0.16176470588235295,179,79,84,232,126,78,28,325,7,23,0,25,242,0.1253501400560224,0.055322128851540614,0.058823529411764705,0.16246498599439776,0.08823529411764706,0.0546218487394958,0.0196078431372549,0.22759103641456582,0.004901960784313725,0.01610644257703081,0,0.01750700280112045,0.16946778711484595
18,GerDracor/kleist-penthesilea.xml,comedy,1323,746,392,0.5375863470134092,0.30312880942706216,0.15928484355952865,366,597,394,318,282,504,0.14872003250711094,0.24258431531897603,0.16009752133279154,0.1292157659488013,0.11458756603006907,0.2047947988622511,359,199,187,282,201,153,35,642,16,60,0,42,285,0.14587566030069077,0.08086143843965868,0.07598537180008126,0.11458756603006907,0.08167411621292157,0.06216984965461195,0.014221861032100772,0.2608695652173913,0.00650142218610321,0.024380333197887037,0,0.017066233238520925,0.11580658268996342
19,GerDracor/kotzebue-pagenstreiche.xml,comedy,1201,678,342,0.5407474110760918,0.30526789734353893,0.1539846915803692,320,691,237,359,163,451,0.14407924358397117,0.31112111661413777,0.10670868977937865,0.16163890139576767,0.07339036470058533,0.2030616839261594,275,83,127,321,105,109,44,579,23,15,0,46,494,0.12381809995497524,0.037370553804592525,0.05718144979738857,0.14452949122017109,0.04727600180099054,0.04907699234579019,0.01981089599279604,0.26069338135974784,0.010355695632597929,0.00675371454299865,0,0.020711391265195857,0.2224223322827555
20,GerDracor/wagner-voltaire-am-abend-seiner-apotheose.xml,comedy,139,73,34,0.5650406504065041,0.2967479674796748,0.13821138211382114,33,55,30,49,24,55,0.13414634146341464,0.22357723577235772,0.12195121951219512,0.1991869918699187,0.0975609756097561,0.22357723577235772,33,8,12,43,13,16,5,60,3,5,0,3,45,0.13414634146341464,0.032520325203252036,0.04878048780487805,0.17479674796747968,0.052845528455284556,0.06504065040650407,0.02032520325203252,0.24390243902439024,0.012195121951219513,0.02032520325203252,0,0.012195121951219513,0.18292682926829268
